Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Player-additional
123,Laken Tomlinson,31,NYJ,LG,17,17,0,0,0,0,0,0,0,2,10,0,0.0,0,0,0,0,0,0,,TomlLa01
124,O'Cyrus Torrence,23,BUF,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,TorrOC00
125,Shy Tuttle,28,CAR,DT,17,17,0,0,0,0,5,0,0,0,0,0,0.5,43,19,24,1,1,0,,TuttSh00
126,Greg Van Roten,33,LVR,G,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,VanRGr00
127,Travon Walker,23,JAX,OLB,17,17,0,0,0,0,2,0,0,1,0,0,10.0,52,27,25,10,19,0,,WalkTr03
128,Charvarius Ward,27,SFO,CB,17,17,5,91,1,66,23,1,0,0,0,0,0.0,72,56,16,2,0,0,"PB,AP-2",WardCh01
129,Fred Warner,27,SFO,LB,17,17,4,66,0,32,11,4,0,0,0,0,2.5,132,82,50,6,5,0,"PB,AP-1,AP DPoY-6",WarnFr00
130,T.J. Watt,29,PIT,LB,17,17,1,24,0,24,8,4,0,3,34,1,19.0,68,48,20,19,36,0,"PB,AP-1,AP DPoY-2",WattT.00
131,Rachaad White,24,TAM,RB,17,17,0,0,0,0,0,0,3,3,3,0,0.0,0,0,0,0,0,0,,WhitRa01
132,Jordan Whitehead,26,NYJ,SS,17,17,4,6,0,6,9,0,0,0,0,0,0.5,97,65,32,3,1,0,,WhitJo03
133,Christian Wilkins,28,MIA,LDE,17,17,0,0,0,0,2,1,0,2,0,0,9.0,65,38,27,10,23,0,,WilkCh00
134,Darious Williams,30,JAX,LCB,17,17,4,72,1,61,19,2,0,0,0,0,0.0,53,44,9,3,0,0,,WillDa09
135,Jonah Williams,26,CIN,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,WillJo10
136,Quinnen Williams,26,NYJ,DL,17,17,1,6,0,6,3,1,0,1,0,0,5.5,62,39,23,11,20,1,PB,WillQu00
137,Garrett Wilson,23,NYJ,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,WilsGa00
138,Logan Wilson,27,CIN,LB,17,17,4,42,0,26,9,2,0,0,0,0,1.0,135,78,57,5,4,0,,WilsLo00
139,Antoine Winfield Jr.,25,TAM,S,17,17,3,28,0,28,12,6,0,4,5,0,6.0,122,76,46,6,8,0,"AP-1,AP DPoY-6",WinfAn00
140,Tristan Wirfs,24,TAM,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB,WirfTr00
141,Ahkello Witherspoon,28,LAR,DB,17,17,3,17,0,17,14,0,0,2,0,0,0.0,52,43,9,3,0,0,,WithAh00
142,DeForest Buckner,29,IND,DT,17,16,0,0,0,0,7,2,0,1,26,1,8.0,81,45,36,11,21,0,PB,BuckDe00
143,Romeo Doubs,23,GNB,WR,17,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,DoubRo00
144,Leonard Floyd,31,BUF,RDE,17,16,0,0,0,0,1,1,0,0,0,0,10.5,32,21,11,9,19,0,,FloyLe00
145,Breece Hall,22,NYJ,RB,17,16,0,0,0,0,0,0,2,3,-1,0,0.0,0,0,0,0,0,0,AP CPoY-7,HallBr03
146,Dre'Mont Jones,26,SEA,DE,17,16,0,0,0,0,0,0,0,0,0,0,4.5,49,26,23,5,12,0,,JoneDr00
147,Kader Kohou,25,MIA,CB,17,16,0,0,0,0,10,0,0,1,0,0,1.0,63,52,11,5,5,0,,KohoKa00
148,Steven Nelson,30,HOU,CB,17,16,4,33,0,33,12,0,0,0,0,0,0.0,63,48,15,0,0,0,,NelsSt01
149,Patrick Peterson,33,PIT,LCB,17,16,2,0,0,0,11,0,0,0,0,0,0.0,42,34,8,0,0,0,,PetePa00
150,George Pickens,22,PIT,WR,17,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,PickGe00
151,Bijan Robinson,21,ATL,RB,17,16,0,0,0,0,0,0,4,0,-7,0,0.0,0,0,0,0,0,0,AP ORoY-5,RobiBi01
152,Asante Samuel Jr.,24,LAC,CB,17,16,2,8,0,8,13,0,0,0,0,0,0.0,63,56,7,1,0,0,,SamuAs00
153,Alex Singleton,30,DEN,LB,17,16,0,0,0,0,4,0,0,2,0,0,2.0,177,106,71,6,6,0,,SingAl00
154,Jahlani Tavai,27,NWE,LB,17,16,2,2,0,2,5,2,1,0,0,0,1.0,110,65,45,5,4,0,,TavaJa00
155,Wyatt Teller,29,CLE,G,17,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB,TellWy00
156,Bobby Wagner,33,SEA,LB,17,16,0,0,0,0,3,0,0,1,0,0,3.5,183,96,87,11,6,0,"PB,AP-2",WagnBo00
157,Jonah Williams,28,LAR,DE,17,16,0,0,0,0,1,0,0,0,0,0,2.0,49,20,29,4,4,0,,WillJo16
158,Quincy Williams,27,NYJ,LB,17,16,1,11,0,11,10,2,0,1,0,0,2.0,139,95,44,15,4,0,AP-1,WillQu01
159,Byron Young,25,LAR,OLB,17,16,0,0,0,0,0,2,0,1,0,0,8.0,61,42,19,8,19,0,AP DRoY-8,YounBy01
160,DaRon Bland,24,DAL,CB,17,15,9,209,5,63,15,0,0,0,0,0,0.0,69,53,16,3,1,0,"PB,AP-1,AP DPoY-5",BlanDa00
161,Jadeveon Clowney,30,BAL,OLB,17,15,0,0,0,0,5,2,0,1,0,0,9.5,43,24,19,9,19,0,,ClowJa00
162,Evan Engram,29,JAX,TE,17,15,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,PB,EngrEv00
163,Richie Grant,26,ATL,S,17,15,1,4,0,4,6,2,0,0,0,0,3.0,103,66,37,3,5,0,,GranRi00
164,Benito Jones,26,DET,DL,17,15,0,0,0,0,0,0,0,0,0,0,1.0,26,13,13,3,6,0,,JoneBe03
165,Rodney Thomas II,25,IND,S,17,15,2,5,0,5,4,0,0,0,0,0,0.0,34,30,4,0,0,0,,ThomRo07
166,Denico Autry,33,TEN,LDE,17,14,0,0,0,0,4,2,0,0,0,0,11.5,50,30,20,12,17,0,,AutrDe00
167,Jonathan Bullard,30,MIN,DL,17,14,0,0,0,0,0,1,0,0,0,0,2.0,44,24,20,3,2,0,,BullJo00
168,Jordan Elliott,26,CLE,DT,17,14,0,0,0,0,1,0,0,0,0,0,2.5,21,14,7,3,3,0,,ElliJo02
169,Josh Oliver,26,MIN,TE,17,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,OlivJo00
170,Daniel Bellinger,23,NYG,TE,17,13,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,,BellDa00
171,James Cook,24,BUF,RB,17,13,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,PB,CookJa01
172,Michael Davis,28,LAC,CB,17,13,1,0,0,0,10,0,0,0,0,0,0.0,62,52,10,3,0,0,,DaviMi03
173,Rashan Gary,26,GNB,LB,17,13,0,0,0,0,2,2,0,2,0,0,9.0,44,23,21,7,22,0,,GaryRa00
174,Mike Hilton,29,CIN,CB,17,13,2,16,0,16,8,0,0,1,0,0,2.0,84,64,20,12,2,0,,HiltMi01
