Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,Player-additional
3,82,TAM,YaYa Diaby,DL,24,2024,0,0,1,5,5,28,0,0,0,0,0,0,0,0,0,0,0,47,,9.5,Louisville,College Stats,DiabYa00
3,83,DEN,Riley Moss,DB,23,2024,0,0,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,55,1,,Iowa,College Stats,MossRi00
3,84,MIA,De'Von Achane,RB,21,2024,0,0,1,7,7,22,0,0,0,0,0,235,1362,11,76,570,8,,,,Texas A&M,College Stats,AchaDe00
3,85,LAC,Daiyan Henley,LB,23,2024,0,0,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,72,,1.0,Washington St.,College Stats,HenlDa00
3,86,BAL,Trenton Simpson,LB,22,2024,0,0,1,2,2,27,0,0,0,0,0,0,0,0,0,0,0,47,,2.5,Clemson,College Stats,SimpTr00
3,87,SFO,Ji'Ayir Brown,S,23,2024,0,0,1,2,2,26,0,0,0,0,0,0,0,0,0,0,0,57,3,,Penn St.,College Stats,BrowJi01
3,88,JAX,Tank Bigsby,RB,22,2024,0,0,0,1,1,27,0,0,0,0,0,145,651,6,4,42,0,,,,Auburn,College Stats,BigsTa00
3,89,LAR,Kobie Turner,DT,24,2024,0,0,1,3,3,28,0,0,0,0,0,0,0,0,0,0,0,58,,14.0,Wake Forest,College Stats,TurnKo00
3,90,DAL,DeMarvion Overshown,LB,23,2024,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,47,,5.0,Texas,College Stats,OverDe00
3,91,BUF,Dorian Williams,LB,22,2024,0,0,1,2,2,28,0,0,0,0,0,0,0,0,0,0,0,84,,,Tulane,College Stats,WillDo04
3,92,KAN,Wanya Morris,OL,22,2024,0,0,1,2,2,25,0,0,0,0,0,0,0,0,1,1,1,,,,Oklahoma,College Stats,MorrWa01
3,93,PIT,Darnell Washington,TE,22,2024,0,0,1,1,1,28,0,0,0,0,0,0,0,0,24,243,1,,,,Georgia,College Stats,WashDa03
3,94,ARI,Michael Wilson,WR,23,2024,0,0,2,6,6,24,0,0,0,0,0,0,0,0,70,926,6,,,,Stanford,College Stats,WilsMi02
3,95,CIN,Jordan Battle,DB,22,2024,0,0,0,3,3,28,0,0,0,0,0,0,0,0,0,0,0,60,1,2.0,Alabama,College Stats,BattJo00
3,96,DET,Brodric Martin,DT,24,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Western Kentucky,College Stats,MartBr00
3,97,WAS,Ricky Stromberg,OL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats,StroRi01
3,98,CLE,Siaki Ika,DL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats,IkaxSi00
3,99,SFO,Jake Moody,K,23,2024,0,0,1,3,3,25,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,MoodJa00
3,100,LVR,Tre Tucker,WR,22,2024,0,0,1,3,3,27,0,0,0,0,0,16,113,1,54,698,3,2,,,Cincinnati,College Stats,TuckTr00
3,101,SFO,Cameron Latu,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,LatuCa01
3,102,MIN,Mekhi Blackmon,CB,24,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,34,1,,USC,College Stats,BlacMe00
